Brand,Model,Motor,Year,Kms,Box,Energy,Price
ALFA ROMEO,4C,1.7 TBI 240 STANDARD EDITION,2017,24985,Automatique,Essence,77030
ALFA ROMEO,GIULIA II QUADRIFOGLIO,2.9 V6 510 QUADRIFOGLIO,2019,18900,Automatique,Essence,81970
ALFA ROMEO,GIULIETTA III phase 3,1.4 MULTIAIR 170 SUPER,2018,72745,Automatique,Essence,21230
ALFA ROMEO,GIULIETTA III phase 2,1.4 MULTIAIR 170 EXCLUSIVE,2016,115314,Manuelle,Essence,18270
ALFA ROMEO,STELVIO,2.0 280 FIRST EDITION,2018,114639,Automatique,Essence,40610
ALFA ROMEO,GIULIA II,2.0 200 EXECUTIVE,2020,28323,Automatique,Essence,40640
ALFA ROMEO,MITO,1.4 MPI 78 DISTINCTIVE,2017,88328,Manuelle,Essence,12070
ALFA ROMEO,4C,1.7 TBI 240 LIMITED EDITION,2018,7276,Automatique,Essence,97660
ALFA ROMEO,TONALE,1.5 HYBRID 130 EDIZIONE SPECIALE,2023,7139,Automatique,Essence,50200
ALFA ROMEO,MITO,0.9 105 SBK,2014,101076,Manuelle,Essence,10390
ALFA ROMEO,TONALE,1.5 HYBRID 130 EDIZIONE SPECIALE,2023,9168,Automatique,Essence,45080
ALFA ROMEO,STELVIO QUADRIFOGLIO,2.9 V6 510 QUADRIFOGLIO,2019,94605,Automatique,Essence,68990
ALFA ROMEO,TONALE,1.5 HYBRID 130 EDIZIONE SPECIALE,2023,6372,Automatique,Essence,44800
ALFA ROMEO,STELVIO,2.0 280 FIRST EDITION,2018,78988,Automatique,Essence,44510
ALFA ROMEO,GIULIA II phase 2,2.0 200 SPRINT,2023,7670,Automatique,Essence,55440
ALFA ROMEO,STELVIO QUADRIFOGLIO,2.9 V6 510 QUADRIFOGLIO,2021,80249,Automatique,Essence,80380
ALFA ROMEO,TONALE,1.5 HYBRID 130 EDIZIONE SPECIALE,2023,7080,Automatique,Essence,49180
ALFA ROMEO,STELVIO,2.0 280 FIRST EDITION,2018,80712,Automatique,Essence,38640
ALFA ROMEO,STELVIO,2.0 200 SUPER,2019,113406,Automatique,Essence,34410
ALFA ROMEO,MITO,0.9 TWINAIR 105 DISTINCTIVE BUSINESS,2016,108528,Manuelle,Essence,10060
ALFA ROMEO,STELVIO,2.0 200 STELVIO,2018,100097,Automatique,Essence,26720
